PATIENT_LSOA_2011,phenotype,population,actual_cases,expected_cases,case_difference,standardized_difference,significant_under_diagnosis
E01001756,ASTHMA,2160,104,89.90288373553672,14.097116264463281,0.3033216473434222,False
E01001757,ASTHMA,2033,124,97.6482504144036,26.351749585596394,0.5844411215896835,False
E01001758,ASTHMA,3029,163,140.8851983365636,22.114801663436396,0.40182172348224454,False
E01001759,ASTHMA,2069,98,93.76018285767478,4.239817142325222,0.0932109385865573,False
E01001760,ASTHMA,2601,137,119.72605929409235,17.27394070590765,0.3387047197236794,False
E01001761,ASTHMA,2539,136,122.29906331315348,13.700936686846518,0.27190607384913695,False
E01001762,ASTHMA,2142,81,92.4954071482122,-11.495407148212195,-0.24837885724064374,False
E01001763,ASTHMA,2129,99,92.7158656398669,6.284134360133095,0.13619389215149527,False
E01001764,ASTHMA,2206,173,101.51234193132017,71.48765806867983,1.5220478844410572,False
E01001765,ASTHMA,2210,155,110.46509239575195,44.53490760424805,0.9473368232605494,False
E01001767,ASTHMA,1996,119,92.75955015940738,26.240449840592618,0.587341931934325,False
E01001768,ASTHMA,2292,153,101.44730155585302,51.55269844414698,1.076822436890308,False
E01001769,ASTHMA,1773,122,82.18923581904421,39.810764180955786,0.9454665018858132,False
E01001770,ASTHMA,2213,146,101.69436984064416,44.30563015935584,0.9418206555544054,False
E01001772,ASTHMA,2256,120,105.71335348630046,14.286646513699537,0.3007881701777588,False
E01001773,ASTHMA,3445,187,153.59323259455482,33.40676740544518,0.5691671680284648,False
E01001774,ASTHMA,2631,127,110.86450653426935,16.135493465730647,0.3145732778889164,False
E01001775,ASTHMA,2035,121,98.43989111150522,22.56010888849478,0.5001024529239101,False
E01001776,ASTHMA,1893,103,90.88773839090605,12.112261609093949,0.2783876311144074,False
E01001777,ASTHMA,3421,171,146.59026254120073,24.40973745879927,0.41733669386975064,False
E01001779,ASTHMA,2482,137,108.8530191722316,28.146980827768402,0.5649772087987545,False
E01001780,ASTHMA,2010,105,93.97889333815498,11.021106661845025,0.24582563902464083,False
E01001781,ASTHMA,2004,122,93.10272098309217,28.89727901690783,0.6455176072949947,False
E01001782,ASTHMA,1845,95,76.32112949775369,18.678870502246312,0.4348629683175181,False
E01001783,ASTHMA,2124,146,97.6871509061786,48.3128490938214,1.0482995349842485,False
