PATIENT_LSOA_2011,phenotype,population,actual_cases,expected_cases,case_difference,standardized_difference,significant_under_diagnosis
E01001749,ASTHMA,2171,117,99.26665937315757,17.733340626842434,0.38059286691814526,False
E01001750,ASTHMA,2718,132,119.89782013387277,12.10217986612723,0.23213406525156755,False
E01001751,ASTHMA,1197,58,49.12905830070649,8.87094169929351,0.2564027328841547,False
E01001752,ASTHMA,2589,128,108.52939953090588,19.470600469094123,0.3826602228200041,False
E01001753,ASTHMA,1788,111,83.4602241197973,27.539775880202697,0.6512933508189025,False
E01001754,ASTHMA,3907,214,170.3749189265562,43.625081073443795,0.6979342986981982,False
E01001755,ASTHMA,2204,140,102.53445608513375,37.465543914866245,0.7980429160405191,False
E01001756,ASTHMA,2160,104,89.90288373554372,14.097116264456275,0.3033216473432715,False
E01001757,ASTHMA,2033,124,97.64825041440119,26.35174958559881,0.584441121589737,False
E01001758,ASTHMA,3029,163,140.88519833655513,22.114801663444865,0.4018217234823984,False
E01001759,ASTHMA,2069,98,93.76018285767584,4.239817142324156,0.09321093858653387,False
E01001760,ASTHMA,2601,137,119.72605929408743,17.273940705912565,0.3387047197237758,False
E01001761,ASTHMA,2539,136,122.29906331314504,13.70093668685496,0.2719060738493045,False
E01001762,ASTHMA,2142,81,92.49540714821711,-11.495407148217112,-0.24837885724074998,False
E01001763,ASTHMA,2129,99,92.71586563987506,6.284134360124938,0.1361938921513185,False
E01001764,ASTHMA,2206,173,101.51234193132034,71.48765806867966,1.5220478844410537,False
E01001765,ASTHMA,2210,155,110.46509239574354,44.53490760425646,0.9473368232607283,False
E01001767,ASTHMA,1996,119,92.75955015940454,26.24044984059546,0.5873419319343887,False
E01001768,ASTHMA,2292,153,101.44730155585825,51.552698444141754,1.0768224368901989,False
E01001769,ASTHMA,1773,122,82.18923581904787,39.810764180952134,0.9454665018857265,False
E01001770,ASTHMA,2213,146,101.69436984063904,44.30563015936096,0.9418206555545141,False
E01001772,ASTHMA,2256,120,105.71335348629151,14.28664651370849,0.3007881701779473,False
E01001773,ASTHMA,3445,187,153.5932325945433,33.40676740545669,0.5691671680286609,False
E01001774,ASTHMA,2631,127,110.8645065342685,16.1354934657315,0.314573277888933,False
E01001775,ASTHMA,2035,121,98.4398911114974,22.560108888502597,0.5001024529240833,False
E01001776,ASTHMA,1893,103,90.88773839090071,12.112261609099292,0.2783876311145302,False
E01001777,ASTHMA,3421,171,146.590262541192,24.409737458807996,0.4173366938698998,False
E01001779,ASTHMA,2482,137,108.85301917222814,28.146980827771856,0.5649772087988238,False
E01001780,ASTHMA,2010,105,93.9788933381501,11.021106661849899,0.24582563902474955,False
E01001781,ASTHMA,2004,122,93.10272098308505,28.89727901691495,0.6455176072951538,False
E01001782,ASTHMA,1845,95,76.32112949775987,18.67887050224013,0.43486296831737414,False
E01001783,ASTHMA,2124,146,97.68715090617219,48.31284909382781,1.0482995349843875,False
E01001784,ASTHMA,2684,134,111.8850772273578,22.114922772642203,0.4268685622805464,False
E01001785,ASTHMA,1887,88,86.35036627491048,1.6496337250895152,0.03797533176213827,False
E01001786,ASTHMA,2565,108,122.30771346052266,-14.307713460522663,-0.28250526705464196,False
E01001787,ASTHMA,1880,115,95.53746280254136,19.462537197458644,0.44886994880196585,False
E01001788,ASTHMA,1805,115,92.93003817111136,22.069961828888637,0.5194729990549535,False
E01001789,ASTHMA,2029,126,94.10235345750431,31.897646542495693,0.7081375397718294,False
E01001790,ASTHMA,1887,55,93.557294296418,-38.55729429641799,-0.8876067580865084,False
E01001791,ASTHMA,1808,97,85.82355189545962,11.176448104540384,0.262847949158686,False
E01001792,ASTHMA,2405,159,114.8557587184428,44.1442412815572,0.9001533799366458,False
E01001793,ASTHMA,2017,129,91.51102519869056,37.48897480130944,0.8347388274729018,False
E01001794,ASTHMA,2447,156,115.0481481696341,40.9518518303659,0.8278593545314715,False
E01001795,ASTHMA,1782,102,82.9107595415238,19.089240458476198,0.45220441560351404,False
