effect_modifier,modifier_value,ethnic_group,odds_ratio,lower_ci,upper_ci,phenotype
imd_rank,0.894736842105263,White,0.2351078632607146,0.19023421214756817,0.29056659547726604,DIABETES_ANY
imd_rank,0.9473684210526315,White,0.22607376120899006,0.1813079929179658,0.2818924013477127,DIABETES_ANY
imd_rank,1.0,White,0.21738679769507993,0.17280061207098366,0.27347715523547567,DIABETES_ANY
age_band,0_minus_17,Black,0.04736933027200174,0.033307867498985996,0.06736707027209987,DIABETES_T2
age_band,18_minus_24,Black,0.14349963957148215,0.10312816209618446,0.19967529856625998,DIABETES_T2
age_band,25_minus_34,Black,0.08788485494767383,0.06390846239253291,0.12085641619310991,DIABETES_T2
age_band,35_minus_44,Black,0.34899245501745363,0.27542907006117506,0.442203626625387,DIABETES_T2
age_band,55_minus_64,Black,3.1916916632699217,2.6100544512424775,3.9029437368777495,DIABETES_T2
age_band,65_minus_74,Black,6.030439295966306,4.873801882241639,7.461566756506821,DIABETES_T2
age_band,75_plus_,Black,8.400779136323674,6.687772525091956,10.55255540353785,DIABETES_T2
age_band,0_minus_17,East_Or_Other_Asian,0.06186101849639911,0.04089156406534726,0.09358374268336601,DIABETES_T2
age_band,18_minus_24,East_Or_Other_Asian,0.17176876615205358,0.11764515041308342,0.25079239494191374,DIABETES_T2
age_band,25_minus_34,East_Or_Other_Asian,0.09499756181490485,0.06707792090327308,0.13453811074123978,DIABETES_T2
age_band,35_minus_44,East_Or_Other_Asian,0.3845966615092053,0.2930250018126015,0.5047848856891134,DIABETES_T2
age_band,55_minus_64,East_Or_Other_Asian,3.3613327293746833,2.6487842782967936,4.265563568215753,DIABETES_T2
age_band,65_minus_74,East_Or_Other_Asian,5.811686045062686,4.530791444055179,7.454700818483538,DIABETES_T2
age_band,75_plus_,East_Or_Other_Asian,7.277180595463744,5.574439435523375,9.50003278922017,DIABETES_T2
age_band,0_minus_17,South_Asian,0.05736571888378559,0.042406375292434136,0.0776021454406324,DIABETES_T2
age_band,18_minus_24,South_Asian,0.1969973922120534,0.14721653690071754,0.26361150286072554,DIABETES_T2
age_band,25_minus_34,South_Asian,0.12797327686708843,0.09760816006118105,0.1677847383029781,DIABETES_T2
age_band,35_minus_44,South_Asian,0.8755947984514993,0.7119247212923977,1.0768923007527378,DIABETES_T2
age_band,55_minus_64,South_Asian,7.2334161944675195,6.010859811953387,8.704629866485181,DIABETES_T2
age_band,65_minus_74,South_Asian,13.565912939930648,11.1445541828943,16.513356288064916,DIABETES_T2
age_band,75_plus_,South_Asian,16.567411297692512,13.399826046022179,20.483782115096233,DIABETES_T2
age_band,0_minus_17,White,0.01556173776769099,0.01078477786991006,0.022454582307720697,DIABETES_T2
age_band,18_minus_24,White,0.05465494289180694,0.03866461268415972,0.07725831387237633,DIABETES_T2
age_band,25_minus_34,White,0.02359966394277705,0.017185901373034704,0.0324070367985398,DIABETES_T2
age_band,35_minus_44,White,0.09297335788276732,0.07371666067651858,0.11726040214882631,DIABETES_T2
age_band,55_minus_64,White,1.3703939746318607,1.1251320244660008,1.6691193609910957,DIABETES_T2
age_band,65_minus_74,White,2.6646269658182375,2.166759452595932,3.2768920696107346,DIABETES_T2
age_band,75_plus_,White,4.497496837541943,3.6139829607812515,5.59700419819553,DIABETES_T2
imd_rank,0.0,Black,1.03698662656311,0.970268118477233,1.1082928967700296,DIABETES_T2
imd_rank,0.05263157894736842,Black,1.0043103492668086,0.9303039326139338,1.0842040351376152,DIABETES_T2
imd_rank,0.10526315789473684,Black,0.9726637275809018,0.8919858238723098,1.060638747423645,DIABETES_T2
imd_rank,0.15789473684210525,Black,0.9420143162342711,0.8552459923001798,1.0375856536944275,DIABETES_T2
imd_rank,0.21052631578947367,Black,0.9123306923322194,0.8200194305444787,1.0150336213603166,DIABETES_T2
imd_rank,0.2631578947368421,Black,0.8835824231405723,0.7862438088274333,0.992971759799662,DIABETES_T2
imd_rank,0.3157894736842105,Black,0.8557400348849298,0.7538593646604315,0.9713894150996109,DIABETES_T2
imd_rank,0.3684210526315789,Black,0.8287749825330759,0.7228087971004451,0.950276164911216,DIABETES_T2
imd_rank,0.42105263157894735,Black,0.8026596205295718,0.6930371653619055,0.9296218134163715,DIABETES_T2
imd_rank,0.47368421052631576,Black,0.7773671744525229,0.6644917916046339,0.9094163864041404,DIABETES_T2
imd_rank,0.5263157894736842,Black,0.7528717135634648,0.6371221677258221,0.8896501264541,DIABETES_T2
imd_rank,0.5789473684210527,Black,0.7291481242222245,0.6108798659911389,0.8703134882243779,DIABETES_T2
imd_rank,0.631578947368421,Black,0.7061720841395,0.5857184533468358,0.8513971338421021,DIABETES_T2
imd_rank,0.6842105263157894,Black,0.6839200374407617,0.561593409261234,0.8328919283940407,DIABETES_T2
